cubename,zalpha,zbeta,zoiii,zobs,zhelio,ezhelio,zcmb,notes
SN2012cg,0.001472,0.001534,0.001533,0.001513,0.001424,0.000193,0.002549,
SN1994D,0.002164,0.002144,0.002163,0.002157,0.002073,0.000191,0.003196,
SN2007rw,0.008571,0.008594,0.008594,0.008586,0.008547,0.000191,0.009706,
SN2008aq,nan,nan,nan,0.007972,0.007897,0.001000,0.009031,
SN2012cu,0.003695,0.003693,0.003693,0.003694,0.003625,0.000190,0.004733,
SN2008aw,nan,nan,nan,0.010360,0.010283,0.001000,0.011389,
SN2011iy,0.004253,0.004236,0.004201,0.004230,0.004182,0.000192,0.005260,
SN2009nr,nan,nan,nan,0.011224,0.011153,0.001000,0.012180,
SN2009ev,nan,nan,nan,0.011838,0.011847,0.001000,0.012734,
SN1986G,nan,nan,nan,0.001830,0.001851,0.001000,0.002705,
SN2006E,0.002651,0.002638,0.002640,0.002643,0.002595,0.000191,0.003516,
SN2013aj,0.009093,0.009080,0.009082,0.009085,0.009051,0.000191,0.010006,
SN2009mz,nan,nan,nan,0.008579,0.008523,0.001000,0.009442,
SN2002cr,nan,nan,nan,0.009480,0.009443,0.001000,0.010351,
SN2007af,0.005439,0.005539,0.005472,0.005483,0.005484,0.000197,0.006319,
SN2013aa,nan,nan,nan,0.003999,0.004031,0.001000,0.004703,
SN2006cu,0.028582,0.028631,0.028583,0.028599,0.028561,0.000192,0.029269,
SN2006be,0.007230,0.007277,0.007373,0.007293,0.007305,0.000203,0.007636,
SN2008cg,0.036050,0.036178,0.036118,0.036115,0.036149,0.000201,0.036535,
SN20080612,0.032591,0.032745,0.032631,0.032656,0.032689,0.000205,0.032931,
SN2004dk,0.005300,0.005425,0.005406,0.005377,0.005385,0.000200,0.005660,
SN2001cp,0.022569,0.022576,0.022575,0.022573,0.022603,0.000190,0.022592,
SN2006ca,0.008825,0.008911,0.008862,0.008866,0.008937,0.000195,0.008536,
SN2008fq,0.010621,0.010683,0.010520,0.010608,0.010700,0.000207,0.009923,
SN2002ha,0.013766,0.013809,0.013745,0.013774,0.013856,0.000193,0.012851,
LSQ12dbr,0.019621,0.019671,0.019669,0.019654,0.019748,0.000192,0.018711,
SN2012fw,0.018715,0.018750,0.018818,0.018761,0.018846,0.000197,0.018258,
SN2006cm,0.016342,0.016408,0.016360,0.016370,0.016466,0.000193,0.015368,
SN2007fs,0.017240,0.017280,0.017322,0.017281,0.017378,0.000195,0.016326,
SN2002jg,0.015179,0.015261,0.015180,0.015207,0.015283,0.000195,0.014150,
SN2007le,0.006657,0.006705,0.006672,0.006678,0.006772,0.000192,0.005570,
SN2012et,0.024892,0.024881,0.024899,0.024890,0.024974,0.000191,0.023793,
SN2003hg,0.014972,0.014940,0.014907,0.014940,0.015033,0.000193,0.013827,
SN2001da,0.017235,0.017237,0.017231,0.017234,0.017319,0.000190,0.016081,
LSQ12gdj,0.029782,0.029710,0.029870,0.029787,0.029875,0.000207,0.028822,
SN2007fb,0.018050,0.018070,0.018067,0.018062,0.018151,0.000191,0.016916,
LSQ13crf,0.048814,0.048868,0.048851,0.048844,0.048843,0.000192,0.048190,
